Country,Goal,Window,Model Type,Model,params,Error (MSE),Error (R2),Prediction Year,Prediction,Actual Value,Prediction Error
Norway,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037629e0>,"Intercept   83.29
year         0.01
dtype: float64",0.04766461608566872,0.049090909090909185,2021,99.0380952380949,99.0,0.0380952380948969
Norway,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03763a90>,"Intercept   330.78
year         -0.13
dtype: float64",1.9856003645477254,0.2637039540385294,2021,63.066666666666094,62.0,1.0666666666660944
Norway,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03779120>,"Intercept   -759.50
year           0.42
dtype: float64",0.5758259284574827,0.9269693116800586,2021,98.7666666666687,97.0,1.7666666666686979
Norway,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0377a320>,"Intercept   92.92
year         0.00
dtype: float64",0.13506493506493467,0.002020202020205031,2021,98.17142857142964,98.0,0.17142857142964374
Norway,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0377a020>,"Intercept   -514.72
year           0.30
dtype: float64",0.4192298929141335,0.8961038961038886,2021,88.95238095238062,89.0,-0.04761904761937785
Norway,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0377a6b0>,"Intercept   3.26
year        0.04
dtype: float64",3.156527682843466,0.019116397621072534,2021,81.99999999999974,83.0,-1.0000000000002558
Norway,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037955a0>,"Intercept   33.45
year         0.03
dtype: float64",0.18284347231715653,0.18939393939393967,2021,99.0714285714286,99.0,0.07142857142859782
Norway,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037967a0>,"Intercept   168.52
year         -0.04
dtype: float64",0.5020050125313285,0.12913043478260844,2021,81.9095238095244,82.0,-0.09047619047559863
Norway,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037964a0>,"Intercept   -1389.39
year            0.73
dtype: float64",0.9821143768512456,0.9569285956953565,2021,93.54761904761699,91.0,2.5476190476169904
Norway,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037b26b0>,"Intercept   -657.07
year           0.38
dtype: float64",6.431465026201913,0.47024059755273273,2021,101.46190476190554,95.0,6.461904761905544
Norway,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037b05e0>,"Intercept   -33.14
year          0.06
dtype: float64",0.0897698792435651,0.6555944055943994,2021,98.09523809523853,98.0,0.09523809523852833
Norway,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037b2c20>,"Intercept   -266.94
year           0.15
dtype: float64",6.076851218956473,0.13342972252908059,2021,40.14761904761946,43.0,-2.8523809523805426
